station,Deployment,Retrieving,Y,X
J60,09-01-2024,23-02-2024,3219882.041,382067.4448
J79,09-01-2024,23-02-2024,3221047.609,382630.2488
J27,09-01-2024,23-02-2024,3217304.691,383450.5292
J44,09-01-2024,23-02-2024,3218542.63,383657.7813
J61,09-01-2024,23-02-2024,3219351.407,383785.7035
J14,10-01-2024,20-02-2024,3216045.871,386653.4546
J30,10-01-2024,10-03-2024,3217863.002,387127.9336
J64,10-01-2024,10-03-2024,3219922.759,387271.8095
J47,10-01-2024,10-03-2024,3219095.855,387406.7531
J13,10-01-2024,01-03-2024,3216531.887,385472.4984
J28,10-01-2024,20-02-2024,3216939.741,384692.9039
J46,10-01-2024,29-02-2024,3218823.791,386788.9379
J63,10-01-2024,29-02-2024,3219852.569,386076.9501
J62,10-01-2024,01-03-2024,3219711.28,385354.3608
J45,10-01-2024,29-02-2024,3218663.705,384616.7911
D104,11-01-2024,12-03-2024,3222268.452,388773.8969
J84,11-01-2024,12-03-2024,3222051.574,389657.2615
J85,11-01-2024,12-03-2024,3222208.812,390130.6956
J105,11-01-2024,12-03-2024,3223062.696,390530.0167
J82,11-01-2024,09-03-2024,3221877.23,386295.587
J81,11-01-2024,10-03-2024,3221144.254,384790.651
J80,11-01-2024,10-03-2024,3221867.424,384068.1129
J83,11-01-2024,10-03-2024,3222200.539,388010.3769
J48,12-01-2024,20-02-2024,3218383.923,388592.1302
J31,12-01-2024,23-02-2024,3217091.782,388596.1285
J16,12-01-2024,19-02-2024,3215819.218,388638.2946
J1,12-01-2024,20-02-2024,3214958.635,389625.0141
J3,12-01-2024,20-02-2024,3214854.308,392090.2633
J2,12-01-2024,20-02-2024,3214902.289,390649.7234
J15,12-01-2024,20-02-2024,3215937.001,387808.9837
J32,12-01-2024,23-02-2024,3216711.734,391014.4959
J50,12-01-2024,22-02-2024,3218563.303,392318.8296
J67,12-01-2024,22-02-2024,3219637.319,392530.3767
J49,12-01-2024,22-02-2024,3218512.022,391060.7991
J17,14-01-2024,20-02-2024,3215725.968,390964.2445
J18,14-01-2024,01-03-2024,3215725.447,391721.6792
J65,14-01-2024,11-03-2024,3220150.655,388216.1212
J29,14-01-2024,13-03-2024,3217464.865,386373.4897
J4,16-01-2024,20-02-2024,3214824.362,393756.8579
J5,16-01-2024,20-02-2024,3214768.45,395137.9372
J6,16-01-2024,20-02-2024,3215107.344,396748.4559
J22,16-01-2024,20-02-2024,3215678.378,397450.6555
J21,16-01-2024,20-02-2024,3215292.305,396389.8917
J19,16-01-2024,22-02-2024,3215294.215,393516.8319
J7,17-01-2024,25-02-2024,3214597.023,398304.6169
J37,17-01-2024,25-02-2024,3217084.328,398350.0136
J38,17-01-2024,07-03-2024,3216949.408,398695.3628
J23,17-01-2024,07-03-2024,3215779.869,398624.6789
J8,17-01-2024,01-03-2024,3214359.294,399378.4038
J20,21-01-2024,22-02-2024,3216324,394319.7962
J34,21-01-2024,22-02-2024,3217386.622,394087.2011
J51,21-01-2024,22-02-2024,3218108.073,394200.932
J68,21-01-2024,22-02-2024,3220150.867,392952.6911
J87,21-01-2024,22-02-2024,3221063.675,392984.5733
J35,21-01-2024,22-02-2024,3217412.423,394534.2379
J52,21-01-2024,22-02-2024,3218647.283,395215.2301
J69,21-01-2024,22-02-2024,3219690.309,394821.8494
J70,21-01-2024,22-02-2024,3219928.777,395768.0416
J54,24-01-2024,25-02-2024,3218667.612,397626.2859
J53,24-01-2024,25-02-2024,3219004.568,396751.4043
J90,24-01-2024,01-03-2024,3222056.699,397204.1087
J89,24-01-2024,27-02-2024,3221794.021,396963.3575
J71,24-01-2024,25-02-2024,3220226.577,397148.7587
J33,25-01-2024,23-02-2024,3216863.539,391717.8141
N167,22-02-2024,06-04-2024,3228201.896,374611.8316
N166,22-02-2024,07-04-2024,3228600.947,373597.9424
N152,22-02-2024,04-04-2024,3227299.145,374469.6439
N136,22-02-2024,06-04-2024,3226217.444,374880.916
N151,22-02-2024,03-04-2024,3227171.854,372652.248
N135,22-02-2024,03-04-2024,3225557.353,373734.5266
N165,22-02-2024,03-04-2024,3228175.221,371822.1257
N137,24-02-2024,06-04-2024,3226148.076,375652.5293
N153,25-02-2024,04-04-2024,3227878.345,375927.1458
N154,25-02-2024,04-04-2024,3227127.922,377483.054
N139,25-02-2024,04-04-2024,3226037.146,378654.2375
N168,25-02-2024,04-04-2024,3228049.282,376618.5712
N138,26-02-2024,04-04-2024,3225815.254,378260.8278
N142,26-02-2024,07-04-2024,3225424.322,383122.5966
N121,26-02-2024,07-04-2024,3224619.389,383486.9753
N122,26-02-2024,07-04-2024,3224497.308,384378.8183
N143,26-02-2024,07-04-2024,3225175.146,384744.6318
N120,26-02-2024,07-04-2024,3225085.416,381487.7176
N141,26-02-2024,07-04-2024,3225425.428,382150.7929
N119,26-02-2024,07-04-2024,3225094.619,380390.4678
N140,26-02-2024,07-04-2024,3225582.491,380153.3457
N118,26-02-2024,04-04-2024,3224867.805,379300.4523
D145,03-03-2024,14-04-2024,3225543.767,389157.8599
D126,03-03-2024,13-04-2024,3224976.478,390298.3146
D102,03-03-2024,13-04-2024,3223549.549,386063.1232
D101,03-03-2024,13-04-2024,3223593.073,385256.0247
D123,03-03-2024,13-04-2024,3224230.966,386967.8676
D162,04-03-2024,14-04-2024,3227021.819,392548.1366
D146,04-03-2024,08-04-2024,3226035.266,391057.4487
D161,04-03-2024,13-04-2024,3226951.694,391291.8285
D125,04-03-2024,13-04-2024,3224628.643,388565.2957
D124,04-03-2024,13-04-2024,3224050.466,388422.4891
D103,04-03-2024,13-04-2024,3223567.364,388076.284
D109,06-03-2024,14-04-2024,3223241.439,396940.3839
S110,06-03-2024,14-04-2024,3223024.643,397142.7474
D108,06-03-2024,08-05-2024,3223220.474,394859.1235
D107,06-03-2024,08-05-2024,3222848.815,393945.0235
D106,06-03-2024,08-05-2024,3223279.41,392805.8276
D130,06-03-2024,14-04-2024,3224800.726,396066.2762
D129,06-03-2024,14-04-2024,3224919.737,395046.9164
D128,06-03-2024,14-04-2024,3225111.837,393923.1919
D127,06-03-2024,14-04-2024,3225118.092,392658.6522
D147,06-03-2024,13-04-2024,3225286.741,391812.963
D149,06-03-2024,14-04-2024,3226282.935,395026.3546
S41,09-04-2024,10-05-2024,3217269.02,403789.0779
S26,09-04-2024,10-05-2024,3216361.009,403187.6469
S25,09-04-2024,10-05-2024,3215643.136,401732.971
S24,09-04-2024,10-05-2024,3215656.697,400544.3958
S55,09-04-2024,10-05-2024,3218560.035,399515.4798
S9,09-04-2024,10-05-2024,3214665.932,400048.0261
S10,09-04-2024,10-05-2024,3214320.829,402554.1231
S58,09-04-2024,10-05-2024,3218885.521,403681.954
S75,09-04-2024,10-05-2024,3220136.985,403368.4101
S39,10-04-2024,12-05-2024,3217537.285,400784.5713
S56,10-04-2024,12-05-2024,3219038.852,401159.6114
S73,10-04-2024,12-05-2024,3219545.185,401167.8698
S40,10-04-2024,12-05-2024,3216758.282,401428.0962
S57,10-04-2024,12-05-2024,3218026.875,401837.0907
S94,11-04-2024,11-05-2024,3221629.455,402991.7875
S93,11-04-2024,11-05-2024,3222138.334,402179.7644
S114,11-04-2024,11-05-2024,3222832.672,403406.7156
S113,11-04-2024,11-05-2024,3223653.788,402751.1313
S131,11-04-2024,11-05-2024,3224438.924,397478.4295
S132,11-04-2024,11-05-2024,3224264.411,398908.8571
